,product,region,year_month,mean_weighted_price
0,apples per pound,ALASKA,2023-01,2.0281944444444444
1,apples per pound,ALASKA,2023-02,2.14125
2,apples per pound,ALASKA,2023-03,1.8069444444444445
3,apples per pound,ALASKA,2023-04,1.9289285714285713
4,apples per pound,ALASKA,2023-05,2.2208333333333337
5,apples per pound,ALASKA,2023-06,1.8154761904761905
6,apples per pound,ALASKA,2023-07,2.1719999999999997
7,apples per pound,ALASKA,2023-08,2.1664285714285714
8,apples per pound,ALASKA,2023-09,2.205
9,apples per pound,HAWAII,2023-01,2.3244444444444445
10,apples per pound,HAWAII,2023-02,2.3875
11,apples per pound,HAWAII,2023-03,2.3899999999999997
12,apples per pound,HAWAII,2023-04,1.955625
13,apples per pound,HAWAII,2023-05,1.8108333333333333
14,apples per pound,HAWAII,2023-06,2.381333333333333
15,apples per pound,HAWAII,2023-07,2.29
16,apples per pound,HAWAII,2023-08,1.9874999999999998
17,apples per pound,HAWAII,2023-09,1.89
18,apples per pound,MIDWEST U.S.,2023-01,1.4301666666666666
19,apples per pound,MIDWEST U.S.,2023-02,1.4725
20,apples per pound,MIDWEST U.S.,2023-03,1.5248666666666666
21,apples per pound,MIDWEST U.S.,2023-04,1.4633333333333334
22,apples per pound,MIDWEST U.S.,2023-05,1.577
23,apples per pound,MIDWEST U.S.,2023-06,1.43745
24,apples per pound,MIDWEST U.S.,2023-07,1.6039583333333334
25,apples per pound,MIDWEST U.S.,2023-08,1.5352083333333333
26,apples per pound,MIDWEST U.S.,2023-09,1.6383333333333334
27,apples per pound,NATIONAL,2023-01,1.4081666666666668
28,apples per pound,NATIONAL,2023-02,1.5181666666666667
29,apples per pound,NATIONAL,2023-03,1.7297999999999998
30,apples per pound,NATIONAL,2023-04,1.5289166666666667
31,apples per pound,NATIONAL,2023-05,1.6320000000000001
32,apples per pound,NATIONAL,2023-06,1.504
33,apples per pound,NATIONAL,2023-07,1.7728125
34,apples per pound,NATIONAL,2023-08,1.7358333333333331
35,apples per pound,NATIONAL,2023-09,1.5772727272727274
36,apples per pound,NORTHEAST U.S.,2023-01,1.5265833333333334
37,apples per pound,NORTHEAST U.S.,2023-02,1.5727499999999999
38,apples per pound,NORTHEAST U.S.,2023-03,1.9658703703703704
39,apples per pound,NORTHEAST U.S.,2023-04,1.6598148148148146
40,apples per pound,NORTHEAST U.S.,2023-05,1.750952380952381
41,apples per pound,NORTHEAST U.S.,2023-06,1.9252777777777776
42,apples per pound,NORTHEAST U.S.,2023-07,1.9937500000000001
43,apples per pound,NORTHEAST U.S.,2023-08,1.829404761904762
44,apples per pound,NORTHEAST U.S.,2023-09,1.4842857142857144
45,apples per pound,NORTHWEST U.S.,2023-01,1.389375
46,apples per pound,NORTHWEST U.S.,2023-02,1.582222222222222
47,apples per pound,NORTHWEST U.S.,2023-03,1.3711428571428572
48,apples per pound,NORTHWEST U.S.,2023-04,1.3653571428571427
49,apples per pound,NORTHWEST U.S.,2023-05,1.4157142857142857
50,apples per pound,NORTHWEST U.S.,2023-06,1.3033333333333332
51,apples per pound,NORTHWEST U.S.,2023-07,1.6375
52,apples per pound,NORTHWEST U.S.,2023-08,1.553095238095238
53,apples per pound,NORTHWEST U.S.,2023-09,1.832
54,apples per pound,SOUTH CENTRAL U.S.,2023-01,1.411111111111111
55,apples per pound,SOUTH CENTRAL U.S.,2023-02,1.5682142857142858
56,apples per pound,SOUTH CENTRAL U.S.,2023-03,1.7663125
57,apples per pound,SOUTH CENTRAL U.S.,2023-04,1.7046428571428573
58,apples per pound,SOUTH CENTRAL U.S.,2023-05,1.7843055555555554
59,apples per pound,SOUTH CENTRAL U.S.,2023-06,1.70075
60,apples per pound,SOUTH CENTRAL U.S.,2023-07,1.7326388888888886
61,apples per pound,SOUTH CENTRAL U.S.,2023-08,1.7588888888888887
62,apples per pound,SOUTH CENTRAL U.S.,2023-09,1.5333333333333334
63,apples per pound,SOUTHEAST U.S.,2023-01,1.8871428571428572
64,apples per pound,SOUTHEAST U.S.,2023-02,2.0370833333333334
65,apples per pound,SOUTHEAST U.S.,2023-03,1.95975
66,apples per pound,SOUTHEAST U.S.,2023-04,1.838611111111111
67,apples per pound,SOUTHEAST U.S.,2023-05,1.7066666666666668
68,apples per pound,SOUTHEAST U.S.,2023-06,1.8615277777777777
69,apples per pound,SOUTHEAST U.S.,2023-07,2.1466666666666665
70,apples per pound,SOUTHEAST U.S.,2023-08,1.9161111111111113
71,apples per pound,SOUTHEAST U.S.,2023-09,1.785
72,apples per pound,SOUTHWEST U.S.,2023-01,1.304074074074074
73,apples per pound,SOUTHWEST U.S.,2023-02,1.4652777777777777
74,apples per pound,SOUTHWEST U.S.,2023-03,1.6469375
75,apples per pound,SOUTHWEST U.S.,2023-04,1.440625
76,apples per pound,SOUTHWEST U.S.,2023-05,1.4523958333333333
77,apples per pound,SOUTHWEST U.S.,2023-06,1.4384285714285716
78,apples per pound,SOUTHWEST U.S.,2023-07,1.6335000000000002
79,apples per pound,SOUTHWEST U.S.,2023-08,1.43375
80,apples per pound,SOUTHWEST U.S.,2023-09,1.8199999999999998
81,beans per pound,ALASKA,2023-01,2.48
82,beans per pound,ALASKA,2023-03,2.4349999999999996
83,beans per pound,ALASKA,2023-04,2.45
84,beans per pound,ALASKA,2023-05,2.98
85,beans per pound,ALASKA,2023-06,2.59
86,beans per pound,ALASKA,2023-07,3.135
87,beans per pound,ALASKA,2023-09,2.99
88,beans per pound,HAWAII,2023-07,3.99
89,beans per pound,MIDWEST U.S.,2023-01,1.335
90,beans per pound,MIDWEST U.S.,2023-02,1.7366666666666666
91,beans per pound,MIDWEST U.S.,2023-03,1.6039999999999999
92,beans per pound,MIDWEST U.S.,2023-04,1.78
93,beans per pound,MIDWEST U.S.,2023-05,1.8
94,beans per pound,MIDWEST U.S.,2023-06,1.674
95,beans per pound,MIDWEST U.S.,2023-07,1.5150000000000001
96,beans per pound,MIDWEST U.S.,2023-08,1.5175
97,beans per pound,MIDWEST U.S.,2023-09,1.28
98,beans per pound,NATIONAL,2023-01,1.8075
99,beans per pound,NATIONAL,2023-02,2.0525
100,beans per pound,NATIONAL,2023-03,1.874
101,beans per pound,NATIONAL,2023-04,1.88
102,beans per pound,NATIONAL,2023-05,1.7149999999999999
103,beans per pound,NATIONAL,2023-06,1.842
104,beans per pound,NATIONAL,2023-07,1.9324999999999999
105,beans per pound,NATIONAL,2023-08,1.7225000000000001
106,beans per pound,NATIONAL,2023-09,1.7
107,beans per pound,NORTHEAST U.S.,2023-01,1.88
108,beans per pound,NORTHEAST U.S.,2023-02,1.8399999999999999
109,beans per pound,NORTHEAST U.S.,2023-03,1.714
110,beans per pound,NORTHEAST U.S.,2023-04,1.71
111,beans per pound,NORTHEAST U.S.,2023-05,1.6025
112,beans per pound,NORTHEAST U.S.,2023-06,1.738
113,beans per pound,NORTHEAST U.S.,2023-07,1.74
114,beans per pound,NORTHEAST U.S.,2023-08,1.545
115,beans per pound,NORTHEAST U.S.,2023-09,1.63
116,beans per pound,NORTHWEST U.S.,2023-01,1.815
117,beans per pound,NORTHWEST U.S.,2023-02,0.89
118,beans per pound,NORTHWEST U.S.,2023-03,2.3560000000000003
119,beans per pound,NORTHWEST U.S.,2023-04,2.49
120,beans per pound,NORTHWEST U.S.,2023-05,2.685
121,beans per pound,NORTHWEST U.S.,2023-06,1.6300000000000001
122,beans per pound,NORTHWEST U.S.,2023-07,2.16
123,beans per pound,NORTHWEST U.S.,2023-08,2.115
124,beans per pound,SOUTH CENTRAL U.S.,2023-01,1.73
125,beans per pound,SOUTH CENTRAL U.S.,2023-02,1.4933333333333334
126,beans per pound,SOUTH CENTRAL U.S.,2023-03,1.4780000000000002
127,beans per pound,SOUTH CENTRAL U.S.,2023-04,1.5699999999999998
128,beans per pound,SOUTH CENTRAL U.S.,2023-05,1.99
129,beans per pound,SOUTH CENTRAL U.S.,2023-06,1.56
130,beans per pound,SOUTH CENTRAL U.S.,2023-07,1.4125
131,beans per pound,SOUTH CENTRAL U.S.,2023-08,1.6266666666666667
132,beans per pound,SOUTH CENTRAL U.S.,2023-09,1.46
133,beans per pound,SOUTHEAST U.S.,2023-01,1.9525
134,beans per pound,SOUTHEAST U.S.,2023-02,2.12
135,beans per pound,SOUTHEAST U.S.,2023-03,1.996
136,beans per pound,SOUTHEAST U.S.,2023-04,1.9874999999999998
137,beans per pound,SOUTHEAST U.S.,2023-05,1.7475
138,beans per pound,SOUTHEAST U.S.,2023-06,1.9280000000000002
139,beans per pound,SOUTHEAST U.S.,2023-07,2.1425
140,beans per pound,SOUTHEAST U.S.,2023-08,1.955
141,beans per pound,SOUTHEAST U.S.,2023-09,1.98
142,beans per pound,SOUTHWEST U.S.,2023-01,1.44
143,beans per pound,SOUTHWEST U.S.,2023-02,1.6900000000000002
144,beans per pound,SOUTHWEST U.S.,2023-03,1.298
145,beans per pound,SOUTHWEST U.S.,2023-04,1.9666666666666668
146,beans per pound,SOUTHWEST U.S.,2023-05,2.99
147,beans per pound,SOUTHWEST U.S.,2023-06,1.6560000000000001
148,beans per pound,SOUTHWEST U.S.,2023-07,1.3875
149,beans per pound,SOUTHWEST U.S.,2023-08,1.7575
150,beans per pound,SOUTHWEST U.S.,2023-09,1.52
154,chicken fresh bagged,ALASKA,2023-01,2.015
155,chicken fresh bagged,ALASKA,2023-02,2.3900000000000006
156,chicken fresh bagged,ALASKA,2023-03,1.6949999999999998
157,chicken fresh bagged,ALASKA,2023-04,1.2825000000000002
158,chicken fresh bagged,ALASKA,2023-05,2.43
159,chicken fresh bagged,ALASKA,2023-06,2.4400000000000004
160,chicken fresh bagged,ALASKA,2023-07,1.84
161,chicken fresh bagged,ALASKA,2023-08,1.9475000000000002
162,chicken fresh bagged,ALASKA,2023-09,1.53
163,chicken fresh bagged,ALASKA,2023-10,2.1833333333333336
164,chicken fresh bagged,ALASKA,2023-11,1.9566666666666668
165,chicken fresh bagged,ALASKA,2023-12,1.8399999999999999
166,chicken fresh bagged,HAWAII,2023-03,2.84
167,chicken fresh bagged,HAWAII,2023-06,3.2800000000000002
168,chicken fresh bagged,HAWAII,2023-07,0.99
169,chicken fresh bagged,HAWAII,2023-08,1.99
170,chicken fresh bagged,HAWAII,2023-09,2.31
171,chicken fresh bagged,HAWAII,2023-10,1.09
172,chicken fresh bagged,HAWAII,2023-11,2.19
173,chicken fresh bagged,HAWAII,2023-12,1.89
174,chicken fresh bagged,MIDWEST U.S.,2023-01,1.3544444444444441
175,chicken fresh bagged,MIDWEST U.S.,2023-02,1.0816666666666666
176,chicken fresh bagged,MIDWEST U.S.,2023-03,1.1223333333333332
177,chicken fresh bagged,MIDWEST U.S.,2023-04,1.025
178,chicken fresh bagged,MIDWEST U.S.,2023-05,1.1683333333333334
179,chicken fresh bagged,MIDWEST U.S.,2023-06,0.977
180,chicken fresh bagged,MIDWEST U.S.,2023-07,1.3870833333333334
181,chicken fresh bagged,MIDWEST U.S.,2023-08,1.06375
182,chicken fresh bagged,MIDWEST U.S.,2023-09,1.009
183,chicken fresh bagged,MIDWEST U.S.,2023-10,0.9870833333333333
184,chicken fresh bagged,MIDWEST U.S.,2023-11,1.3854166666666665
185,chicken fresh bagged,MIDWEST U.S.,2023-12,1.238
186,chicken fresh bagged,NATIONAL,2023-01,1.1255555555555554
187,chicken fresh bagged,NATIONAL,2023-02,1.1433333333333335
188,chicken fresh bagged,NATIONAL,2023-03,1.1303333333333332
189,chicken fresh bagged,NATIONAL,2023-04,1.1125
190,chicken fresh bagged,NATIONAL,2023-05,1.0891666666666666
191,chicken fresh bagged,NATIONAL,2023-06,1.0936666666666668
192,chicken fresh bagged,NATIONAL,2023-07,1.1804166666666667
193,chicken fresh bagged,NATIONAL,2023-08,1.1495833333333332
194,chicken fresh bagged,NATIONAL,2023-09,1.0723333333333334
195,chicken fresh bagged,NATIONAL,2023-10,1.1433333333333333
196,chicken fresh bagged,NATIONAL,2023-11,1.1658333333333335
197,chicken fresh bagged,NATIONAL,2023-12,1.228
198,chicken fresh bagged,NORTHEAST U.S.,2023-01,1.1322222222222222
199,chicken fresh bagged,NORTHEAST U.S.,2023-02,1.1616666666666666
200,chicken fresh bagged,NORTHEAST U.S.,2023-03,1.2642
201,chicken fresh bagged,NORTHEAST U.S.,2023-04,1.11125
202,chicken fresh bagged,NORTHEAST U.S.,2023-05,1.0462500000000001
203,chicken fresh bagged,NORTHEAST U.S.,2023-06,1.1400000000000001
204,chicken fresh bagged,NORTHEAST U.S.,2023-07,1.2870833333333336
205,chicken fresh bagged,NORTHEAST U.S.,2023-08,1.17625
206,chicken fresh bagged,NORTHEAST U.S.,2023-09,1.2123333333333333
207,chicken fresh bagged,NORTHEAST U.S.,2023-10,1.15625
208,chicken fresh bagged,NORTHEAST U.S.,2023-11,1.3316666666666666
209,chicken fresh bagged,NORTHEAST U.S.,2023-12,1.3399999999999999
210,chicken fresh bagged,NORTHWEST U.S.,2023-01,1.4699999999999998
211,chicken fresh bagged,NORTHWEST U.S.,2023-02,1.3533333333333335
212,chicken fresh bagged,NORTHWEST U.S.,2023-03,1.36
213,chicken fresh bagged,NORTHWEST U.S.,2023-04,1.4100000000000001
214,chicken fresh bagged,NORTHWEST U.S.,2023-05,1.4900000000000002
215,chicken fresh bagged,NORTHWEST U.S.,2023-06,1.465
216,chicken fresh bagged,NORTHWEST U.S.,2023-07,1.3566666666666667
217,chicken fresh bagged,NORTHWEST U.S.,2023-08,1.2633333333333332
218,chicken fresh bagged,NORTHWEST U.S.,2023-09,1.355
219,chicken fresh bagged,NORTHWEST U.S.,2023-10,1.3933333333333333
220,chicken fresh bagged,NORTHWEST U.S.,2023-11,1.3575
221,chicken fresh bagged,NORTHWEST U.S.,2023-12,1.4266666666666665
222,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-01,1.0161111111111112
223,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-02,0.9904166666666666
224,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-03,0.9583333333333334
225,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-04,0.9945833333333334
226,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-05,0.9229166666666667
227,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-06,0.9186666666666667
228,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-07,1.0833333333333335
229,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-08,1.07
230,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-09,0.975
231,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-10,1.0883333333333334
232,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-11,0.9745833333333334
233,chicken fresh bagged,SOUTH CENTRAL U.S.,2023-12,0.9810000000000001
234,chicken fresh bagged,SOUTHEAST U.S.,2023-01,1.0450000000000002
235,chicken fresh bagged,SOUTHEAST U.S.,2023-02,0.96625
236,chicken fresh bagged,SOUTHEAST U.S.,2023-03,1.0844
237,chicken fresh bagged,SOUTHEAST U.S.,2023-04,1.2629166666666667
238,chicken fresh bagged,SOUTHEAST U.S.,2023-05,0.9750000000000001
239,chicken fresh bagged,SOUTHEAST U.S.,2023-06,1.009
240,chicken fresh bagged,SOUTHEAST U.S.,2023-07,1.0474999999999999
241,chicken fresh bagged,SOUTHEAST U.S.,2023-08,1.11375
242,chicken fresh bagged,SOUTHEAST U.S.,2023-09,1.037
243,chicken fresh bagged,SOUTHEAST U.S.,2023-10,0.9825
244,chicken fresh bagged,SOUTHEAST U.S.,2023-11,1.1033333333333333
245,chicken fresh bagged,SOUTHEAST U.S.,2023-12,0.9890000000000001
246,chicken fresh bagged,SOUTHWEST U.S.,2023-01,1.0599999999999998
247,chicken fresh bagged,SOUTHWEST U.S.,2023-02,1.1237499999999998
248,chicken fresh bagged,SOUTHWEST U.S.,2023-03,1.1273333333333333
249,chicken fresh bagged,SOUTHWEST U.S.,2023-04,1.1975
250,chicken fresh bagged,SOUTHWEST U.S.,2023-05,0.9129166666666666
251,chicken fresh bagged,SOUTHWEST U.S.,2023-06,1.311
252,chicken fresh bagged,SOUTHWEST U.S.,2023-07,1.00625
253,chicken fresh bagged,SOUTHWEST U.S.,2023-08,1.2433333333333334
254,chicken fresh bagged,SOUTHWEST U.S.,2023-09,1.266
255,chicken fresh bagged,SOUTHWEST U.S.,2023-10,1.0433333333333332
256,chicken fresh bagged,SOUTHWEST U.S.,2023-11,1.26
257,chicken fresh bagged,SOUTHWEST U.S.,2023-12,1.032
258,ground beef,ALASKA,2023-01,4.751250000000001
259,ground beef,ALASKA,2023-02,3.7695833333333333
260,ground beef,ALASKA,2023-03,4.4558333333333335
261,ground beef,ALASKA,2023-04,4.62125
262,ground beef,ALASKA,2023-05,4.839375
263,ground beef,ALASKA,2023-06,5.943499999999999
264,ground beef,ALASKA,2023-07,4.33625
265,ground beef,ALASKA,2023-08,5.32875
266,ground beef,ALASKA,2023-09,5.017
267,ground beef,ALASKA,2023-10,5.191875
268,ground beef,ALASKA,2023-11,4.57
269,ground beef,ALASKA,2023-12,4.955666666666667
270,ground beef,HAWAII,2023-01,4.8694444444444445
271,ground beef,HAWAII,2023-02,5.3566666666666665
272,ground beef,HAWAII,2023-03,4.251111111111111
273,ground beef,HAWAII,2023-04,4.834444444444444
274,ground beef,HAWAII,2023-05,5.223333333333334
275,ground beef,HAWAII,2023-06,7.644375
276,ground beef,HAWAII,2023-07,6.0912500000000005
277,ground beef,HAWAII,2023-08,5.9775
278,ground beef,HAWAII,2023-09,5.766666666666667
279,ground beef,HAWAII,2023-10,5.66
280,ground beef,HAWAII,2023-11,4.28
281,ground beef,HAWAII,2023-12,4.934
282,ground beef,MIDWEST U.S.,2023-01,4.230972222222222
283,ground beef,MIDWEST U.S.,2023-02,4.345
284,ground beef,MIDWEST U.S.,2023-03,4.53
285,ground beef,MIDWEST U.S.,2023-04,4.680833333333333
286,ground beef,MIDWEST U.S.,2023-05,4.7941666666666665
287,ground beef,MIDWEST U.S.,2023-06,4.851333333333334
288,ground beef,MIDWEST U.S.,2023-07,4.746666666666667
289,ground beef,MIDWEST U.S.,2023-08,4.839166666666666
290,ground beef,MIDWEST U.S.,2023-09,5.028555555555555
291,ground beef,MIDWEST U.S.,2023-10,4.514166666666667
292,ground beef,MIDWEST U.S.,2023-11,5.139722222222222
293,ground beef,MIDWEST U.S.,2023-12,4.430666666666667
294,ground beef,NATIONAL,2023-01,4.0675
295,ground beef,NATIONAL,2023-02,4.066666666666666
296,ground beef,NATIONAL,2023-03,4.196000000000001
297,ground beef,NATIONAL,2023-04,4.28
298,ground beef,NATIONAL,2023-05,4.445833333333334
299,ground beef,NATIONAL,2023-06,4.436
300,ground beef,NATIONAL,2023-07,4.479166666666667
301,ground beef,NATIONAL,2023-08,4.400833333333334
302,ground beef,NATIONAL,2023-09,4.482
303,ground beef,NATIONAL,2023-10,4.607500000000001
304,ground beef,NATIONAL,2023-11,4.9675
305,ground beef,NATIONAL,2023-12,4.350666666666666
306,ground beef,NORTHEAST U.S.,2023-01,4.226666666666667
307,ground beef,NORTHEAST U.S.,2023-02,4.39513888888889
308,ground beef,NORTHEAST U.S.,2023-03,4.501444444444445
309,ground beef,NORTHEAST U.S.,2023-04,4.4127777777777775
310,ground beef,NORTHEAST U.S.,2023-05,4.429027777777779
311,ground beef,NORTHEAST U.S.,2023-06,4.537277777777778
312,ground beef,NORTHEAST U.S.,2023-07,4.499305555555556
313,ground beef,NORTHEAST U.S.,2023-08,4.679444444444445
314,ground beef,NORTHEAST U.S.,2023-09,4.543777777777778
315,ground beef,NORTHEAST U.S.,2023-10,4.615138888888889
316,ground beef,NORTHEAST U.S.,2023-11,4.821527777777778
317,ground beef,NORTHEAST U.S.,2023-12,4.314333333333334
318,ground beef,NORTHWEST U.S.,2023-01,4.338333333333334
319,ground beef,NORTHWEST U.S.,2023-02,4.530555555555555
320,ground beef,NORTHWEST U.S.,2023-03,3.9600000000000004
321,ground beef,NORTHWEST U.S.,2023-04,4.431805555555556
322,ground beef,NORTHWEST U.S.,2023-05,4.708333333333333
